smiles,solubility,lipophilicity,bbbp,hiv,molecular_weight,formula,logp,logd,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,saturated_rings,heteroatoms,fluorine_count,fluorine_percentage,carbon_count,oxygen_count,sulfur_count,nitrogen_count,hydrogen_count,amide_bonds,ester_bonds,ether_bonds,sulfonamides,sulfones,fraction_csp3,spiro_atoms,bridgehead_atoms,drug_likeness,bioaccumulation_potential,environmental_persistence,toxicity_risk,error
[O-][N+](=O)C1=CC=C(Cl)C=C1,-0.06685934018191354,0.45451871231373286,0.91,0.0,156.993056048,C6H4ClNO2,2.2481999999999998,38.106400000000015,43.14,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,
C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C,1.2606881247470378,-1.3257028667180017,0.92,0.02,282.09590081199997,C8H26O3Si4,2.4066,75.97300000000004,27.69,0.0,3.0,6.0,0.0,0.0,7.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,
CN1CCN(CC1)C(=O)C1CCCCC1,0.18582300033188484,-0.926037503101852,0.95,0.0,210.173213324,C12H22N2O,1.3406999999999996,60.65200000000005,23.55,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,12.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,4.0,1.0,0.0,0.0,
NC1=CC=C(C=C1)[N+]([O-])=O,0.30107727795383626,-0.6987335507265351,0.78,0.0,138.042927432,C6H6N2O2,1.177,37.508800000000015,69.16,1.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,
OC1=CC=C(C=C1)[N+]([O-])=O,1.0300948738776987,-0.11596800646599459,0.68,0.0,139.02694302,C6H5NO3,1.3003999999999998,34.76120000000001,63.37,1.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,
CC1=CC(=O)NO1,0.0883171615508976,-0.8868562565958465,0.97,0.0,99.0320284,C4H5NO2,0.27631999999999995,24.065699999999996,46.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,4.0,0.0,0.0,0.0,
COC1=CC=C(C=C1)C(C)=O,0.34600830724661713,-0.02120599738808373,0.85,0.0,150.06807956,C9H10O2,1.8978,42.99850000000002,26.3,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,4.0,1.0,0.0,0.0,
CN(C)C1=CC=C(C=O)C=C1,-0.547582299520717,-0.30298076200935653,0.91,0.0,149.084063972,C9H11NO,1.5651,46.15650000000002,20.310000000000002,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,4.0,1.0,0.0,0.0,
[O-][N+](=O)C1=CC=C(CBr)C=C1,0.05857017577343823,0.07716335024916197,0.862,0.0,214.958190532,C7H6BrNO2,2.4897,45.72740000000002,43.14,0.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,4.0,1.0,0.0,0.0,
[O-][N+](=O)C1=CC=C(CCl)C=C1,-0.1036125363077812,0.2766006122536173,0.84,0.0,171.008706112,C7H6ClNO2,2.3335999999999997,42.65340000000002,43.14,0.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,4.0,1.0,0.0,0.0,
