Chemical ID,MolecularWeight,MolecularFormula,IUPACName,CanonicalSMILES,InChI,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,CovalentUnitCount,Boiling Point,Melting Point,Flash Point,Solubility,Density,Vapor Density,Vapor Pressure,LogP,Stability,Auto-Ignition,Viscosity,Heat of Combustion,Heat of Vaporization,Surface Tension,Ionization Potential,Dissociation Constants
335-67-1,414.07,C8HF15O2,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid",C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C8HF15O2/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23/h(H,24,25)",4.9,413.9737017,413.9737017,37.3,530,1,17,6,25,1,192 °C,54.3 °C,Not Available,When heated to decomposition it emits toxic vapors of F(-).,1.792 g/mL at 20 °C,Not Available,0.15 [mmHg],6.3,Not Available,Not Available,Not Available,Not Available,Not Available,15.2 dynes/cm,Not Available,pKa = 1.30
1763-23-1,500.13,C8HF17O3S,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid",C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C8HF17O3S/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)29(26,27)28/h(H,26,27,28)",5,499.9374938,499.9374938,62.8,727,1,20,7,29,1,249 °C,Not Available,11 °C - closed cup,"The surface active properties of the potassium salt of PFOS make a direct determination of the octanol-water partition coefficient impossible. In a preliminary study reported by 3M an inseparable emulsion was formed. 3M determined the solubility of PFOS (K salt) in octanol as 56 mg/L, and calculated the log Kow from the ratio of solubilities, giving a log Kow value of -1.08. /Potassium salt/",Not Available,Not Available,"VP: 3.31X10-4 Pa at 20 °C (2.48X10-6 mm Hg) measured by OECD Method 104 ... however, a note in the 3M assessment comments that this result is thought to be due to volatile impurities in the substance. /Perfluorooctane sulfonic acid, potassium salt/",The log Kow is not measurable since PFOS forms multiple layers in an octanol-water mixture,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,pKa = <1.0
375-73-5,300.10,C4HF9O3S,"1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonic acid",C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,"InChI=1S/C4HF9O3S/c5-1(6,3(9,10)11)2(7,8)4(12,13)17(14,15)16/h(H,14,15,16)",2.3,299.95026852,299.95026852,62.8,387,1,12,3,17,1,210-212 °C,Not Available,Not Available,"In water, 510 mg/L, temperature not specified",1.811 g/mL at 25 °C,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
355-46-4,400.12,C6HF13O3S,"1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonic acid",C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,"InChI=1S/C6HF13O3S/c7-1(8,3(11,12)5(15,16)17)2(9,10)4(13,14)6(18,19)23(20,21)22/h(H,20,21,22)",3.7,399.9438812,399.9438812,62.8,553,1,16,5,23,1,238-239 °C,Not Available,Not Available,Not Available,1.841 g/cu cm,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
375-95-1,464.08,C9HF17O2,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanoic acid",C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C9HF17O2/c10-2(11,1(27)28)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)8(22,23)9(24,25)26/h(H,27,28)",5.6,463.9705080,463.9705080,37.3,615,1,19,7,28,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.08 [mmHg],Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,pKa = -0.21
335-76-2,514.08,C10HF19O2,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecanoic acid",C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C10HF19O2/c11-2(12,1(30)31)3(13,14)4(15,16)5(17,18)6(19,20)7(21,22)8(23,24)9(25,26)10(27,28)29/h(H,30,31)",6.3,513.9673143,513.9673143,37.3,701,1,21,8,31,1,"424 °F at 740 mmHg (NTP, 1992)","171 to 174 °F (NTP, 1992)",Not Available,Not Available,"1.707 at 68 °F (NTP, 1992) - Denser than water; will sink",Not Available,-0.99 ± 0.01 [log Psd at 298.15 K (Pa)],Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
307-24-4,314.05,C6HF11O2,"2,2,3,3,4,4,5,5,6,6,6-undecafluorohexanoic acid",C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C6HF11O2/c7-2(8,1(18)19)3(9,10)4(11,12)5(13,14)6(15,16)17/h(H,18,19)",3.6,313.98008905,313.98008905,37.3,368,1,13,4,19,1,157 °C,Not Available,Not Available,"In water, 15,700 mg/L at ambient temperature",Not Available,Not Available,1.49 ± 0.06 [log Psd at 298.15 K (Pa)],Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,pKa = -0.16
375-22-4,214.04,C4HF7O2,"2,2,3,3,4,4,4-heptafluorobutanoic acid",C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,"InChI=1S/C4HF7O2/c5-2(6,1(12)13)3(7,8)4(9,10)11/h(H,12,13)",2.2,213.98647640,213.98647640,37.3,217,1,9,2,13,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
375-85-9,364.06,C7HF13O2,"2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptanoic acid",C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C7HF13O2/c8-2(9,1(21)22)3(10,11)4(12,13)5(14,15)6(16,17)7(18,19)20/h(H,21,22)",4.3,363.9768954,363.9768954,37.3,448,1,15,5,22,1,175 °C,30 °C,> 113.00 °C (> 235.40 °F) - closed cup,Not Available,1.792 g/cu cm at 20 °C/4 °C,Not Available,0.133 mm Hg at 25 °C,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
754-91-6,499.15,C8H2F17NO2S,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide",C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C8H2F17NO2S/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)29(26,27)28/h(H2,26,27,28)",4.8,498.9534782,498.9534782,68.5,730,1,20,7,29,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
